,Comment,KOREAN / ÇÑ±¹¾î,ENGLISH,JAPANESE / ìíÜâåŞ,SIMPLIFIED CHINESE / ??ñéÙş,TRADITIONAL CHINESE / Ûåô÷ñéÙş,GERMAN / DEUTSCH,SPANISH / ESPANOL,PORTUGUESE / PORTUGUES (BR),RUSSIAN / ¬²¬µ¬³¬³¬¬¬ª¬«,POLISH / POLSKI,FRENCH / FRANCAIS
label/pause/menu/newGame,,»õ °ÔÀÓ,Restart,«Ë«å?«²?«à,ãæêı?,ãæë´?,Neues Spiel,Reiniciar,Reiniciar,¬±¬Ö¬â¬Ö¬Ù¬Ñ¬á¬å¬ã¬Ü,Restart,Redemarrer
label/pause/menu/newGame/confirm,,Á¤¸»·Î ´Ù½ÃÇÏ½Ã°Ú½À´Ï±î?,Do you really want to restart?,Üâ?ªËªäªêòÁª·ªŞª¹ª«£¿,??ñìãæ?ã·?£¿,?îÜé©ñìãæËÒã·?£¿,Mochtest du wirklich von vorn beginnen?,¢¯Seguro que quieres reiniciar?,Pretende mesmo reiniciar?,¬¥¬Ö¬Û¬ã¬ä¬Ó¬Ú¬ä¬Ö¬İ¬î¬ß¬à ¬Ó¬í¬á¬à¬İ¬ß¬Ú¬ä¬î ¬á¬Ö¬â¬Ö¬Ù¬Ñ¬á¬å¬ã¬Ü?,Na pewno chcesz zrestartowa??,Veux-tu vraiment redemarrer ?
label/pause/menu/main,,¸ŞÀÎÈ­¸é,Title Screen,«á«¤«ó?Øü,ñ«Í£Øü,ñ«?Øü,Hauptbildschirm,Menu principal,Tela de titulo,¬¤¬İ¬Ñ¬Ó¬ß¬í¬Û ¬ï¬Ü¬â¬Ñ¬ß,Ekran tytu©©owy,Ecran principal
label/pause/menu/main/confirm,,¸ŞÀÎ ¸Ş´º·Î µ¹¾Æ°¡½Ã°Ú½À´Ï±î?,Return to the title screen?,«á«¤«ó«á«Ë«å?ªË?ªêªŞª¹ª«£¿,??Ú÷üŞñ«Í£Øü?£¿,é©üŞÓğñ«àÔÓ¤?£¿,Zuruck zum Hauptmenu?,¢¯Quieres volver al menu principal?,Retornar a tela de titulo?,¬£¬Ö¬â¬ß¬å¬ä¬î¬ã¬ñ ¬ß¬Ñ ¬Ô¬İ¬Ñ¬Ó¬ß¬í¬Û ¬ï¬Ü¬â¬Ñ¬ß?,Wroci? na ekran tytu©©owy?,Revenir a l'ecran principal ?
label/pause/menu/controls,,ÄÁÆ®·Ñ,Controls,«³«ó«È«í?«ë,Íóğ¤,ğÃÍó,Steuerung,Controles,Controles,¬µ¬á¬â¬Ñ¬Ó¬İ¬Ö¬ß¬Ú¬Ö,Sterowanie,Commandes
label/pause/menu/settings,,¼³Á¤,Settings,àâïÒ,?öÇ,àâïÒ,Einstellungen,Ajustes,Definicoes,¬¯¬Ñ¬ã¬ä¬â¬à¬Û¬Ü¬Ú,Ustawienia,Parametres
label/pause/menu/quit,,°ÔÀÓÁ¾·á,Exit,«²?«àğûÖõ,êı??áÖ,Ì¿áÖë´?,Beenden,Salir,Sair,¬£¬í¬Û¬ä¬Ú,Wyj?cie,Quitter
label/pause/menu/quit/confirm,,Á¤¸»·Î Á¾·áÇÒ±î¿ä?,Do you really want to exit?,Üâ?ªËğûÖõª·ªŞª¹ª«£¿,???áÖêı??£¿,?îÜé©Ì¿áÖ?£¿,Mochtest du das Spiel wirklich beenden?,¢¯Seguro que quieres salir?,Pretende mesmo sair?,¬¥¬Ö¬Û¬ã¬ä¬Ó¬Ú¬ä¬Ö¬İ¬î¬ß¬à ¬Ó¬í¬Û¬ä¬Ú?,Na pewno chcesz wyj???,Veux-tu vraiment quitter ?
label/pause/settings/veryHigh,,¸Å¿ì ³ôÀ½,Very High,ªÈªÆªâÍÔª¤,ŞªßÈÍÔ,ŞªßÈÍÔ,Sehr hoch,Muy alto,Muito alto,¬°¬é¬Ö¬ß¬î ¬Ó¬í¬ã¬à¬Ü¬à¬Ö,Bardzo wysoki,Tres eleve
label/pause/settings/high,,³ôÀ½,High,ÍÔ,ÍÔ,ÍÔ,Hoch,Alto,Alto,¬£¬í¬ã¬à¬Ü¬à¬Ö,Wysoki,Eleve
label/pause/settings/medium,,Áß°£,Average,ñé,ñé,ñéÔõ,Durchschnitt,Medio,Medio,¬³¬â¬Ö¬Õ¬ß¬Ö¬Ö,?redni,Moyen
label/pause/settings/low,,³·À½,Low,î¸,î¸,î¸,Niedrig,Bajo,Baixo,¬¯¬Ú¬Ù¬Ü¬à¬Ö,Niski,Faible
label/pause/settings/on,,ÄÑÁü,On,«ª«ó,?,ËÒ?,An,Si,Ligar,¬£¬Ü¬İ.,W©©?cz,Oui
label/pause/settings/off,,²¨Áü,Off,«ª«Õ,?,Î¼øÍ,Aus,No,Desligar,¬£¬í¬Ü¬İ.,Wy©©?cz,Non
label/pause/settings/title,,¼³Á¤,Settings,àâïÒ,?öÇ,àâïÒ,Einstellungen,Ajustes,Definicoes,¬¯¬Ñ¬ã¬ä¬â¬à¬Û¬Ü¬Ú,Ustawienia,Parametres
label/pause/settings/graphics,,±×·¡ÇÈ,Graphics,«°«é«Õ«£«Ã«¯,?û¡?öÇ,Óñû¡àâöÇ,Grafik,Graficos,Graficos,¬¤¬â¬Ñ¬æ¬Ú¬Ü¬Ñ,Grafika,Graphismes
label/pause/settings/graphics/resolution,,ÇØ»óµµ,Resolution,ú°ßÀÓø,İÂÜ©áã,ú°à°Óø,Auflosung,Resolucion,Resolucao,¬²¬Ñ¬Ù¬â¬Ö¬ê¬Ö¬ß¬Ú¬Ö,Rozdzielczo??,Resolution
label/pause/settings/graphics/screen,,È­¸é,Screen,?Øü,?Øü,?Øü,Bildschirm,Pantalla,Tela,¬¿¬Ü¬â¬Ñ¬ß,Ekran,Ecran
label/pause/settings/graphics/screen/fullscreen,,ÀüÃ¼È­¸é,Full Screen,îï??Øü,îï??Øü,îïû«Ø­,Vollbild,Pantalla completa,Tela inteira,¬±¬à¬İ¬ß¬í¬Û ¬ï¬Ü¬â¬Ñ¬ß,Pe©©en ekran,Plein ecran
label/pause/settings/graphics/screen/borderless,,Å×µÎ¸® ¾øÀ½,Borderless,?ªÊª·,Ùé??,ÙíÜ«?,Randlos,Sin bordes,Sem borda,¬¢¬Ö¬Ù¬Ô¬â¬Ñ¬ß¬Ú¬é¬ß¬í¬Û ¬ï¬Ü¬â¬Ñ¬ß,Bez ramek,Sans bordures
label/pause/settings/graphics/screen/windowed,,Ã¢ ¸ğµå,Window Mode,«¦«£«ó«É«¦«â?«É,?Ï¢Ù¼ãÒ,ãÊ?Ù¼ãÒ,Fenstermodus,Modo ventana,Modo de janela,¬²¬Ö¬Ø¬Ú¬Ş ¬à¬Ü¬ß¬Ñ,Tryb okna,Mode fenetre
label/pause/settings/graphics/light,,Á¶¸í È¿°ú,Light Effect,ğÎÙ¥?Íı,?ÎÃüùÍı,ÔóÎÃüùÍı,Lichteffekt,Efectos de luz,Efeito de luz,¬³¬Ó¬Ö¬ä¬à¬Ó¬à¬Û ¬ï¬æ¬æ¬Ö¬Ü¬ä,Efekty ?wietlne,Effet de lumiere
label/pause/settings/graphics/particleQuality,,ÆÄÆ¼Å¬ Ç°Áú,Particles,«Ñ?«Æ«£«¯«ë,Ø£í­üùÍı,Ø£í­üùÍı,Partikel,Particulas,Particulas,¬¬¬Ñ¬é¬Ö¬ã¬ä¬Ó¬à ¬é¬Ñ¬ã¬ä¬Ú¬è,Efekt cz?stek,Particules
label/pause/settings/graphics/cameraShake,,È­¸é Èçµé¸²,Screen Shake,?Øü?ªì,?Øüòè?,?ØüèôüÌ,Bildschirmwackeln,Temblor pantalla,Agitar tela,¬£¬ã¬ä¬â¬ñ¬ã¬Ü¬Ñ ¬ï¬Ü¬â¬Ñ¬ß¬Ñ,Dr?enie ekranu,Secousse
label/pause/settings/graphics/vibrationPower,,Áøµ¿ ¼¼±â,Rumble,òÉÔÑªÎ?ªµ,Íóğ¤ĞïòÉ?,Íóğ¤ĞïòÉÔÑ,Vibration,Vibracion,Vibracao,¬£¬Ú¬Ò¬â¬Ñ¬è¬Ú¬ñ,Wibracje,Vibrations
label/pause/settings/audio,,¿Àµğ¿À,Audio,«ª?«Ç«£«ª,?ëå,ëåãò,Audio,Sonido,Audio,¬¡¬å¬Õ¬Ú¬à,Audio,Son
label/pause/settings/audio/volume,,À½·®,Volume,ëåÕá,ëåÕá,ëåÕá,Lautstarke,Volumen,Volume,¬©¬Ó¬å¬Ü,G©©o?no??,Volume
label/pause/settings/audio/music,,À½¾Ç,Music,ëå?,ëå?,ëåäÅ,Musik,Musica,Musica,¬®¬å¬Ù¬í¬Ü¬Ñ,Muzyka t©©a,Musique
label/pause/settings/audio/sfx,,È¿°úÀ½,Sound Effects,?Íıëå,üùÍıëå,ëåüù,Soundeffekte,Efectos,Efeitos,¬¿¬æ¬æ¬Ö¬Ü¬ä¬í,Efekty d?wi?kowe,Effets
label/pause/settings/data,,µ¥ÀÌÅÍ,Data,«Ç?«¿,êı??Ëß,ë´?â¦Ëà,Daten,Datos,Dados,¬¥¬Ñ¬ß¬ß¬í¬Ö,Dane lokalne,Donnees
label/pause/settings/data/reset,,ÃÊ±âÈ­,Reset,ôøÑ¢ûù,ôøã·ûù,ôøã·ûù,Zurucksetzen,Reiniciar,Redefinir,¬³¬Ò¬â¬à¬ã,Reset,Reinitialiser
label/pause/settings/data/resetData,,µ¥ÀÌÅÍ ÃÊ±âÈ­,Reset Data,«Ç?«¿ôøÑ¢ûù,?Ëßôøã·ûù,â¦Ëàôøã·ûù,Daten-Reset,Reiniciar datos,Redefinir dados,¬³¬Ò¬â¬à¬ã ¬Õ¬Ñ¬ß¬ß¬í¬ç,Resetuj dane,Supprimer donnees
label/pause/settings/data/resetData/confirm,,ÀúÀåµÈ µ¥ÀÌÅÍ¸¦ ÃÊ±âÈ­ÇÏ½Ã°Ú½À´Ï±î?\n°ËÀº ¸¶¼®À» Æ÷ÇÔÇÑ °ÔÀÓÀÇ ÁøÇàµµ°¡ ¸ğµÎ ÃÊ±âÈ­µÇ°í Æ©Åä¸®¾óºÎÅÍ ´Ù½Ã ½ÃÀÛÇÕ´Ï´Ù.,Are you sure you want to reset all local save data? \n All game progress including Dark Quartz will be initialized and you will restart from the tutorial.,«Ç?«¿ªòôøÑ¢ûùª·ªŞª¹ª«£¿?ª¤Øªà´ªòùßªáª¿«²?«àªÎòäú¼Óøªòª¹ªÙªÆôøÑ¢ûùª·¡¢«Á«å?«È«ê«¢«ëª«ªéã·ªáªŞª¹¡£,?ú¼êı??Ëßôøã·ûù?£¿\nıÙßäØªà´Ôõêı?îÜá¶êó???Ëß?á¼ã÷£¬?ãæâ¢?ïï?ã·ãæîÜêı?¡£,òäú¼ë´?â¦Ëàôøã·ûù?£¿\nıÙßäØªà´Ôõë´?îÜá¶êóßÒ÷¾â¦Ëàíâá¼ã÷£¬ğôãæâ¢?ïïËÒã·ãæîÜë´?¡£,"Bist du sicher, dass du alle deine gespeicherten Daten zurucksetzen willst? \n Jeder Spielfortschritt, einschlie©¬lich des Dunklen Quartz, wird zuruckgesetzt und du beginnst wieder beim Tutorial.","¢¯Seguro que quieres reiniciar todos los datos locales guardados? \n Todo el progreso de juego, incluyendo el cuarzo oscuro, se reiniciara y empezaras desde el tutorial.","Tem certeza de que deseja redefinir todos os dados salvos locais? \n Todo o progresso do jogo, incluindo Dark Quartz, sera inicializado e voce reiniciara a partir do tutorial.","¬¥¬Ö¬Û¬ã¬ä¬Ó¬Ú¬ä¬Ö¬İ¬î¬ß¬à ¬ã¬Ò¬â¬à¬ã¬Ú¬ä¬î ¬Ó¬ã¬Ö ¬ã¬à¬ç¬â¬Ñ¬ß¬Ö¬ß¬ß¬í¬Ö ¬Õ¬Ñ¬ß¬ß¬í¬Ö?\n¬£¬Ö¬ã¬î ¬Ú¬Ô¬â¬à¬Ó¬à¬Û ¬á¬â¬à¬Ô¬â¬Ö¬ã¬ã, ¬Ó¬Ü¬İ¬ğ¬é¬Ñ¬ñ ¬ä¬Ö¬Ş¬ß¬í¬Û ¬Ü¬Ó¬Ñ¬â¬è, ¬Ò¬å¬Õ¬Ö¬ä ¬å¬Õ¬Ñ¬İ¬Ö¬ß, ¬Ú ¬Ó¬í ¬ß¬Ñ¬é¬ß¬Ö¬ä¬Ö ¬Ú¬Ô¬â¬å ¬ã ¬à¬Ò¬å¬é¬Ö¬ß¬Ú¬ñ.","Na pewno chcesz zresetowa? lokalne dane zapisu? \n Ca©©y post?p w grze, w©©?cznie z zebranym Czarnym Kryszta©©em, wroci do stanu pocz?tkowego i gr? trzeba b?dzie zacz?? od pocz?tku.","Veux-tu vraiment reinitialiser toutes les donnees de sauvegarde locale ?\nTa progression, y compris le quartz noir que tu possedes, sera reinitialisee et tu recommenceras depuis le tutoriel."
label/pause/settings/data/resetCutsceneData,,ÄÆ½Å ÃÊ±âÈ­,Reset Cutscenes,«««Ã«È«·?«óôøÑ¢ûù,?ï×ôøã·ûù,Ğ¼ï×ôøã·ûù,Videodaten-Reset,Reiniciar cinematicas,Redefinir Cutscene,¬³¬Ò¬â¬à¬ã ¬Ó¬Ú¬Õ¬Ö¬à,Reset scen,Relancer cinematique
label/pause/settings/data/resetCutsceneData/confirm,,ÄÆ¾À µ¥ÀÌÅÍ¸¦ ÃÊ±âÈ­ÇÏ½Ã°Ú½À´Ï±î?,Are you sure you want to reset the cutscenes?,«««Ã«È«·«ó«Ç?«¿ªòôøÑ¢ûùª·ªŞª¹ª«£¿,?ú¼?????Ëßôøã·ûù?£¿,òäú¼Î¦íŞÔÑ?â¦Ëàôøã·ûù?£¿,"Bist du sicher, dass du die Videosequenzen zurucksetzen willst?",¢¯Seguro que quieres reiniciar los datos de cinematicas?,Tem certeza que deseja redefinir os dados da Cutscene?,¬¥¬Ö¬Û¬ã¬ä¬Ó¬Ú¬ä¬Ö¬İ¬î¬ß¬à ¬ã¬Ò¬â¬à¬ã¬Ú¬ä¬î ¬Ú¬Ô¬â¬à¬Ó¬à¬Ö ¬Ó¬Ú¬Õ¬Ö¬à?,Na pewno chcesz zresetowa? dane przerywnikow?,Veux-tu vraiment reinitialiser les donnees des cinematiques ?
label/pause/settings/gamePlay,,°ÔÀÓ ÇÃ·¹ÀÌ,Game Play,«²?«à«×«ì«¤,?ã·êı?,ËÒã·ë´?,Spielverlauf,Jugabilidad,Jogar,¬ª¬Ô¬â¬à¬Ó¬à¬Û ¬á¬â¬à¬è¬Ö¬ã¬ã,Rozgrywka,Jeu
label/pause/settings/gamePlay/language,,¾ğ¾î,Language,åëåŞ,?åë,åŞåë,Sprache,Idioma,Idioma,¬Á¬Ù¬í¬Ü,J?zyk,Langue
label/pause/settings/gamePlay/easyMode,,·çÅ°¸ğµå,Rookie Mode,«ë?«­?«â?«É,ãæâ¢Ù¼ãÒ,ãæâ¢Ù¼ãÒ,Rookie-Modus,Modo principiante,Modo novato,¬²¬Ö¬Ø¬Ú¬Ş ¬ß¬à¬Ó¬Ú¬é¬Ü¬Ñ,Tryb ©©atwy,Mode Debutant
label/pause/settings/gamePlay/easyMode/effect,,¹Ş´Â µ¥¹ÌÁö°¡ 50% °¨¼ÒÇÕ´Ï´Ù.,Decreases incoming damage by 50%.,áôª±ªë«À«á?«¸ª¬50£¥Êõá´ª·ªŞª¹¡£,áôÓğ?úª?á´50%¡£,áôÓğîÜß¿úªÊõá´50%¡£,Verringert den erlittenen Schaden um 50?%.,Reduce el dano recibido un 50 %.,Diminui os danos sofridos em 50%.,¬³¬à¬Ü¬â¬Ñ¬ë¬Ñ¬Ö¬ä ¬á¬à¬İ¬å¬é¬Ñ¬Ö¬Ş¬í¬Û ¬å¬â¬à¬ß ¬ß¬Ñ 50%.,Zmniejsza odniesione obra?enia o 50%.,Reduit les degats subis de 50 %.
label/pause/settings/gamePlay/easyMode/confirm,,"ÀÌ·±, ÃÊ½ÉÀÚ¼Ì±º¿ä! Èûµå¼Ì°Ú¾î¿ä.\nÀÌ ÈûÀ» »ç¿ëÇØº¸½Ã°Ú¾î¿ä?\n³²Àº ¿©Á¤À» ´õ¿í ½±°Ô Ç®¾î³ª°¥ ¼ö ÀÖÀ»°Å¿¹¿ä!",Oh! Are you a beginner?\nThen use this power to make the journey a little easier!,ôøãıíºªÇª·ª¿ªèªÍ£¡ÓŞ?ªÀªÃª¿ªÈŞÖª¤ªŞª¹¡£\nª³ªÎÕôªòŞÅªÃªÆÌ¸ªŞª»ªóª«£¿\n?ªêªÎÕéª¬á´ª·?ªËªÊªëªÈŞÖª¤ªŞª¹£¡,?£¡?ãÀôø?íº?£¿\nÑá?ö¦Ê¦ì¤ŞÅéÄ??ÕôÕá?ÕéÔ²ÌÚ?áæ£¡,ô¸?£¡ê«ÕÎ?ãÀãæâ¢£¡ìéïÒ?ãôÍÈ?£¡\né©ŞÅéÄÊ×Ê×îÏÍÆÕôÕá?£¿\ní¥ù»îÜÕéïïìéïÒüåÌÚêıìÓêóæ®îÜ£¡,"Oh! Du bist ganz neu dabei?\nDann setze doch diese Kraft ein,\num deine Reise zu erleichtern!",¢®Oh! ¢¯Eres principiante?\n¢®Usa este poder para hacer mas facil tu viaje!,Oh! Voce e um novato?\nEntao pode usar esta energia para tornar a jornada mais facil!,"¬°! ¬£¬í ¬ß¬à¬Ó¬Ú¬é¬à¬Ü?\n¬´¬à¬Ô¬Õ¬Ñ ¬Ó¬à¬ã¬á¬à¬İ¬î¬Ù¬å¬Û¬ä¬Ö¬ã¬î ¬ï¬ä¬Ú¬Ş, ¬é¬ä¬à¬Ò¬í ¬à¬Ò¬İ¬Ö¬Ô¬é¬Ú¬ä¬î ¬ã¬Ó¬à¬Ö ¬á¬å¬ä¬Ö¬ê¬Ö¬ã¬ä¬Ó¬Ú¬Ö!","Och! Dopiero zaczynasz?\nMo?esz zatem u?y? tej mocy, aby u©©atwi? sobie podro?.",Oh ! Tu es debutant ?\nUtilise ce pouvoir pour te faciliter la tache !
label/pause/settings/gamePlay/showTimer,,Å¸ÀÌ¸Ó Ç¥½Ã,Show Playtime,«¿«¤«Ş?øúãÆ,?ãÆêı???,úéãÆë´?ãÁÊà,Spielzeit,Tiempo de juego,Hora de jogo,¬£¬â¬Ö¬Ş¬ñ ¬ª¬Ô¬â¬í,Poka? czas gry,Temps de jeu
label/pause/settings/gamePlay/showUI,,UI Ç¥½Ã,Show UI,UIøúãÆ,?ãÆUI,úéãÆUI,UI einblenden,Mostrar interfaz,Mostrar UI,¬°¬ä¬à¬Ò¬â¬Ñ¬Ø¬Ñ¬ä¬î UI,Poka? interfejs,Interface
label/pause/settings/gamePlay/showUI/all,,¸ğµÎ Ç¥½Ã,Show All,ª¹ªÙªÆøúãÆ,?ãÆá¶êó?é»,úéãÆá¶êóÒ®é»,Alles einblenden,Mostrar todo,Mostrar tudo,¬°¬ä¬à¬Ò¬â¬Ñ¬Ø¬Ñ¬ä¬î ¬Ó¬ã¬×,Poka? wszystko,Afficher tout
label/pause/settings/gamePlay/showUI/hideHUD,,HUD ¼û±â±â,Hide HUD,HUDŞªøúãÆ,?íúHUD,ëßíúHUD,HUD ausblenden,Ocultar interfaz,Esconder HUD,¬³¬Ü¬â¬í¬ä¬î HUD,Ukryj HUD,Cacher HUD
label/pause/settings/gamePlay/showUI/hideAll,,¸ğµÎ ¼û±â±â,Hide All,ª¹ªÙªÆŞªøúãÆ,?íúá¶êó?é»,ëßíúá¶êóÒ®é»,Alles ausblenden,Ocultar todo,Esconder tudo,¬³¬Ü¬â¬í¬ä¬î ¬Ó¬ã¬×,Ukryj wszystko,Cacher tout
label/pause/settings/return,,µ¹¾Æ°¡±â,Return,?ªë,Ú÷üŞ,Ú÷üŞ,Zuruck,Volver,Retornar,¬£¬Ö¬â¬ß¬å¬ä¬î¬ã¬ñ,Powrot,Retour
label/pause/controls/title,,ÄÁÆ®·Ñ,Controls,«³«ó«È«í?«ë,Íóğ¤,ğÃÍó,Steuerung,Controles,Controles,¬µ¬á¬â¬Ñ¬Ó¬İ¬Ö¬ß¬Ú¬Ö,Sterowanie,Commandes
label/pause/controls/inputDevice,,ÀÔ·ÂÀåÄ¡,Input Device,ìıÕô?öÇ,?ìı?öÇ,âÃìıíûöÇ,Eingabegerat,Dispositivo de entrada,Dispositivo de entrada,¬µ¬ã¬ä¬â¬à¬Û¬ã¬ä¬Ó¬à ¬Ó¬Ó¬à¬Õ¬Ñ,Urz?dzenie wej?cia,Peripherique d'entree
label/pause/controls/up,,À§,Up,ß¾,ß¾,ß¾,Hoch,Arriba,Para cima,¬£¬Ó¬Ö¬â¬ç,Gora,Haut
label/pause/controls/down,,¾Æ·¡,Down,ù»,ù»,ù»,Runter,Abajo,Para baixo,¬£¬ß¬Ú¬Ù,Do©©,Bas
label/pause/controls/left,,¿ŞÂÊ,Left,ñ§,ñ§,ñ§,Links,Izquierda,Para a esquerda,¬£¬İ¬Ö¬Ó¬à,Lewo,Gauche
label/pause/controls/right,,¿À¸¥ÂÊ,Right,éÓ,éÓ,éÓ,Rechts,Derecha,Para a direita,¬£¬á¬â¬Ñ¬Ó¬à,Prawo,Droite
label/pause/controls/attack,,°ø°İ,Attack,Íô?,Íô?,ÍôÌª,Angreifen,Atacar,Atacar,¬¡¬ä¬Ñ¬Ü¬Ñ,Atak,Attaque
label/pause/controls/jump,,Á¡ÇÁ,Jump,«¸«ã«ó«×,Ô¯?,Ô¯å¸,Springen,Saltar,Saltar,¬±¬â¬í¬Ø¬à¬Ü,Skok,Saut
label/pause/controls/dash,,´ë½¬,Dash,«À«Ã«·«å,òğ?,õúí©,Sprinten,Correr,Correr,¬²¬í¬Ó¬à¬Ü,Zryw,Sprint
label/pause/controls/arrowKeysDash,,¹æÇâÅ°´ë½¬,Arrow Keys Dash,Û°ú¾«­?«À«Ã«·«å,Û°ú¾?òğ?,Û°ú¾Ëõõúí©,Pfeiltastensprinten,Correr con teclas de direccion,Corrida de teclas seta,¬²¬í¬Ó¬à¬Ü ¬Ü¬İ¬Ñ¬Ó¬Ú¬ê¬Ñ¬Ş¬Ú-¬ã¬ä¬â¬Ö¬İ¬Ü¬Ñ¬Ş¬Ú,Klawisze strza©©ek: zryw,Sprint sur fleches
label/pause/controls/swap,,½º¿Ò,Swap,ÎßÓÛ,ôğ?,ï·üµ,Tauschen,Intercambiar,Alternacao,¬±¬Ö¬â¬Ö¬Ş¬Ö¬ë¬Ö¬ß¬Ú¬Ö,Zamie?,Echange
label/pause/controls/skill1,,½ºÅ³1,Skill 1,«¹«­«ë1,ĞüÒö1,ĞüÒö1,Fertigkeit 1,Habilidad 1,Habilidade 1,¬¯¬Ñ¬Ó¬í¬Ü 1,Umi?j?tno?? 1,Competence 1
label/pause/controls/skill2,,½ºÅ³2,Skill 2,«¹«­«ë2,ĞüÒö2,ĞüÒö2,Fertigkeit 2,Habilidad 2,Habilidade 2,¬¯¬Ñ¬Ó¬í¬Ü 2,Umi?j?tno?? 2,Competence 2
label/pause/controls/quintessence,,Á¤¼ö,Quintessence,ïñ?,ïñ?,ïñâĞ,Essenz,Quintaesencia,Quintessencia,¬¬¬Ó¬Ú¬ß¬ä¬ï¬ã¬ã¬Ö¬ß¬è¬Ú¬ñ,Kwintesencja,Quintessence
label/pause/controls/inventory,,ÀÎº¥Åä¸®,Inventory,«¤«ó«Ù«ó«È«ê,ÛÎøĞ,ÛÎøĞ,Inventar,Inventario,Inventario,¬ª¬ß¬Ó¬Ö¬ß¬ä¬Ñ¬â¬î,Ekwipunek,Inventaire
label/pause/controls/interaction,,»óÈ£ÀÛ¿ë,Interaction,ßÓû»íÂéÄ,û»?,ßÓû»ç¯úÂ,Interagieren,Interactuar,Interacao,¬£¬Ù¬Ñ¬Ú¬Ş¬à¬Õ¬Ö¬Û¬ã¬ä¬Ó¬Ú¬Ö,Oddzia©©ywanie,Interaction
label/pause/controls/reset,,ÃÊ±âÈ­,Reset,ôøÑ¢ûù,ôøã·ûù,ñìöÇ,Zurucksetzen,Restaurar,Reiniciar,¬³¬Ò¬â¬à¬ã,Reset,Reinitialiser
label/pause/controls/return,,µ¹¾Æ°¡±â,Return,?ªë,Ú÷üŞ,Ú÷üŞ,Zuruck,Volver,Retornar,¬£¬Ö¬â¬ß¬å¬ä¬î¬ã¬ñ,Powrot,Retour
label/pause/controls/pressNewKey,,»õ Å° ´©¸£±â,Press desired key,ãæª·ª¤«­?ªòäãª¹,ïÃ?ãæ?,ïÇÌªãæËõ,Neue Taste drucken,Pulsa la tecla nueva,Pressione a tecla desejada,¬¯¬Ñ¬Ø¬Ş¬Ú¬ä¬Ö ¬ß¬å¬Ø¬ß¬å¬ğ ¬Ü¬İ¬Ñ¬Ó¬Ú¬ê¬å,Naci?nij w©©a?ciwy klawisz,Appuie sur la touche souhaitee
# Witch,,,,,,,,,,,,
witch/currentLevel,,ÇöÀç ·¹º§,Current Level,úŞî¤ªÎ«ì«Ù«ë,?îñÔõ?,ÙÍîñLv,Aktuelles Level,Nivel actual,Nivel atual,¬´¬Ö¬Ü¬å¬ë¬Ú¬Û ¬å¬â¬à¬Ó¬Ö¬ß¬î,Obecny poziom,Niveau actuel
witch/nextLevel,,´ÙÀ½ ·¹º§,Next Level,ó­ªÎ«ì«Ù«ë,ù»ìéÔõ?,ù»ìéËÁLv,Nachstes Level,Siguiente nivel,Nivel seguinte,¬³¬İ¬Ö¬Õ. ¬å¬â¬à¬Ó¬Ö¬ß¬î,Nast?pny poziom,Niveau suivant
witch/darkQuartzBalance,,º¸À¯ÇÑ ¸¶¼®,Dark Quartz,á¶ò¥ñéªÎØªà´,ò¥êóØªà´,ò¥êóîÜØªà´,Dunkler Quarz,Cuarzo oscuro,Quartzo negro,¬´¬Ö¬Ş¬ß¬í¬Û ¬Ü¬Ó¬Ñ¬â¬è,Czarny kryszta©©,Quartz noir
witch/skull/label,,µÎ°³°ñ,Skull,ÔéËÏÍé,?Íé,Ôé?,Schadel,Calavera,Caveira,¬¹¬Ö¬â¬Ö¬á,Czaszka,Crane
witch/skull/0,,°ñ¼ö ÀÌ½Ä,Marrow Transplant,Íé?ì¹ãÕ,??ì¹ãÕ,ÍéâĞì¹ãÕ,Knochenmarktransplantation,Trasplante de medula,Transplante de medula,¬´¬â¬Ñ¬ß¬ã¬á¬İ¬Ñ¬ß¬ä¬Ñ¬è¬Ú¬ñ ¬Ş¬à¬Ù¬Ô¬Ñ,Przeszczep szpiku,Greffe de moelle
witch/skull/0/desc,,[comd]¸¶¹ı°ø°İ·Â[cc]ÀÌ {0:0%} Áõ°¡ÇÕ´Ï´Ù.,Increases [comd]Magic attack[cc] by {0:0%}.,[comd]ØªÛöÍô?Õô[cc]ª¬{0:0%}?Ê¥ª·ªŞª¹¡£,[comd]ØªÛöÍô?Õô[cc]ñòÊ¥{0:0%}¡£,[comd]ØªÛöÍôÌªÕô[cc]ñòÊ¥{0:0%}¡£,Erhoht den [comd]Magieangriff[cc] um {0:0 %}.,Aumenta el [comd]ataque magico[cc] un {0:0 %}.,Aumenta o [comd]ataque magico[cc] em {0:0%}.,¬µ¬Ó¬Ö¬İ¬Ú¬é¬Ú¬Ó¬Ñ¬Ö¬ä [comd]¬Ş¬Ñ¬Ô¬Ú¬é¬Ö¬ã¬Ü¬å¬ğ ¬Ñ¬ä¬Ñ¬Ü¬å[cc] ¬ß¬Ñ {0:0%}.,Wzmacnia [comd]atak magii[cc] o {0:0%}.,Augmente l'[comd]attaque magique[cc] de {0:0 %}.
